meaning,code1,code2,length,complex_simple,path,orientation,aperture,full_repeat,return,trill,second_hand,path2,orientation2,aperture2,full_repeat2,return2,trill2
ангел,1,1,3,1,0,0,0,0,0,1,1,,,,,,
английский,1,1,3,1,0,0,0,0,0,1,0,,,,,,
Англия,1,1,3,1,0,0,0,0,0,1,0,,,,,,
анекдот,1,1,6,1,0,0,0,0,0,1,0,,,,,,
аниматор,1,1,13,1,1,0,0,1,0,0,1,,,,,,
аннулирование,0,0,4,1,1,0,0,1,0,0,1,0,0,0,0,0,0
аннулировать,1,1,7,1,0,1,0,1,0,0,1,0,0,0,0,0,0
антенна,1,1,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0
апельсин,0,1,16,1,1,0,0,1,1,0,1,0,0,0,0,0,0
аплодировать,1,1,18,1,1,0,0,1,0,0,1,,,,,,
аппарат,1,1,6,1,0,1,0,0,0,1,1,,,,,,
арбитр,0,1,3,1,0,0,0,0,0,1,0,,,,,,
арбуз,0,1,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Аргентина,0,1,15,1,0,0,0,1,1,0,1,,,,,,
аргументировать,1,1,14,1,1,0,0,1,0,0,1,0,0,0,0,0,0
ареал,1,1,4,1,1,0,0,1,1,0,0,,,,,,
арендовать,0,1,14,1,1,0,1,0,0,0,1,0,0,0,0,0,0
арестовывать,0,0,2,0,0,1,0,0,0,0,1,,,,,,
арифметика,1,1,0,1,0,0,0,0,0,1,1,,,,,,
арка,0,0,4,1,1,0,1,0,0,0,1,,,,,,
Армения,1,1,18,1,1,0,1,1,1,0,1,0,0,0,0,0,0
армрестлинг,1,1,18,1,1,0,0,1,1,0,1,0,0,0,0,0,0
аромат,1,1,19,1,1,0,0,1,1,0,0,,,,,,
ароматный,1,1,29,1,1,0,0,1,1,0,0,,,,,,
артикуляция,1,1,11,1,1,0,0,1,1,0,0,,,,,,
арфа,1,1,11,1,1,0,1,1,1,0,1,0,0,0,0,0,0
архив,1,1,10,1,1,0,0,1,1,0,1,0,0,0,0,0,0
асинхронность,0,1,14,1,1,0,0,0,0,0,1,1,0,0,0,0,0
ассоциировать,0,1,21,1,1,0,0,0,1,0,1,,,,,,
асфальт,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
аудио,1,1,6,1,0,0,0,0,0,1,0,,,,,,
аудитория,0,0,24,0,0,1,0,0,0,0,1,0,0,0,0,0,0
аукцион,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Афганистан,0,1,26,1,0,0,0,0,0,1,0,,,,,,
африка,0,0,0,1,1,1,0,0,0,0,0,,,,,,
аэробика,0,1,12,1,0,1,0,1,1,0,1,,,,,,
аэрограф,1,1,4,1,1,0,0,1,1,0,1,0,0,0,0,0,0
аэрозоль,0,1,24,0,0,0,1,0,0,0,0,,,,,,
бабочка,1,1,0,1,0,0,0,0,0,1,1,,,,,,
багаж,1,1,31,1,0,0,0,0,0,1,0,,,,,,
бадминтон,0,0,9,1,0,0,0,0,0,1,0,,,,,,
базар,0,1,16,1,1,0,0,1,1,0,1,0,0,0,0,0,0
бактерия,1,0,14,1,0,0,0,0,0,1,1,,,,,,
баланс,1,1,18,1,1,0,0,1,1,0,1,,,,,,
балансировать,0,1,26,1,1,0,0,1,0,0,1,,,,,,
балансировка,0,1,33,1,1,0,0,0,0,1,1,,,,,,
балет,1,1,0,1,0,0,0,0,0,1,1,,,,,,
балкон,0,1,34,1,1,1,0,0,0,0,1,,,,,,
баллончик,0,1,3,1,0,0,1,0,0,1,0,,,,,,
бампер,1,1,5,1,1,1,0,0,0,0,1,,,,,,
банан,0,1,16,1,1,1,0,1,0,0,1,0,0,0,0,0,0
банк,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
банка,1,1,13,1,0,0,0,0,0,1,1,0,0,0,0,0,0
банкет,0,0,0,1,0,1,0,1,0,0,1,,,,,,
банкротство,0,1,7,0,1,0,0,0,0,0,1,,,,,,
бант,0,0,42,1,1,0,1,0,1,0,1,,,,,,
барабан,0,1,15,1,0,1,0,1,0,0,1,,,,,,
баран,0,0,30,1,1,0,0,1,1,0,1,,,,,,
баретка,1,0,5,0,0,0,1,0,0,0,0,,,,,,
бархат,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
баскетбол,0,0,0,1,0,1,0,0,0,1,0,,,,,,
басня,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0
бассейн,0,1,20,1,1,0,0,1,1,0,1,,,,,,
батарейка,0,1,17,1,0,0,0,0,0,1,0,,,,,,
батарея,0,1,9,1,0,0,0,0,0,1,0,,,,,,
баттерфляй,0,1,16,1,1,0,0,1,1,0,1,,,,,,
башня,0,1,13,0,1,0,0,0,0,0,1,,,,,,
бдительность,0,1,3,1,0,0,0,0,0,1,0,,,,,,
бег,0,1,17,1,1,0,0,1,0,0,1,,,,,,
бегемот,0,1,4,1,1,0,0,1,1,0,1,,,,,,
бегунок,0,0,28,1,1,0,0,0,1,0,0,,,,,,
беда,0,1,9,0,1,0,0,0,0,0,1,,,,,,
бедность,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,0,0
бедный,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
бежать,0,1,11,0,1,0,0,0,0,0,1,,,,,,
без,1,0,20,1,1,1,0,0,0,0,1,0,0,0,0,0,0
безграмотный,0,1,6,1,1,1,0,0,0,0,1,0,1,0,0,0,0
безразличие,0,0,2,1,0,0,0,0,0,1,0,,,,,,
безумно устать,0,0,12,0,0,1,0,0,0,0,1,,,,,,
безупречный,0,0,17,1,0,0,0,0,0,1,1,,,,,,
бейсбол,0,1,11,0,1,0,0,0,0,0,1,,,,,,
белка,1,1,5,1,0,1,1,0,0,0,0,,,,,,
белый,0,1,5,1,0,1,0,1,1,0,0,,,,,,
Бельгия,1,1,3,0,0,1,0,0,0,0,0,,,,,,
берег,0,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0
беременная,1,1,3,0,1,0,0,0,0,0,0,,,,,,
беременность,1,1,7,0,1,0,0,0,0,0,0,,,,,,
бесплатно,0,1,12,1,1,0,0,1,0,0,1,0,0,0,0,0,0
беспатный,1,1,5,1,1,0,0,1,0,0,1,0,0,0,0,0,0
беспокоиться,1,1,12,1,1,0,0,1,1,0,1,0,0,0,0,0,0
беспокойство,1,1,4,1,1,0,0,1,1,0,1,,,,,,
беспокойящий,0,1,4,1,0,0,0,0,0,1,0,,,,,,
беспорядок,0,1,25,1,1,0,0,1,1,0,1,,,,,,
бессознательное,0,1,4,0,0,1,0,0,0,0,0,,,,,,
бессознательный,0,1,29,1,1,1,0,0,0,0,1,,,,,,
бешеный,0,1,18,1,1,0,0,0,0,1,0,,,,,,
бикини,0,0,13,1,1,0,1,1,0,0,1,,,,,,
билет,0,0,13,1,1,0,0,1,0,0,1,,,,,,
билингвизм,0,1,5,1,1,1,0,0,0,0,1,,,,,,
бильярд,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
бинокль,0,0,20,0,0,1,0,0,0,0,1,,,,,,
биполярное расстройство,0,1,14,1,1,1,0,0,0,1,1,,,,,,
битва,1,1,5,1,0,0,0,0,0,1,1,,,,,,
бить молотком,0,1,3,1,1,1,0,1,0,0,0,,,,,,
биться,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0
благоговение,0,1,12,0,1,0,0,0,0,0,1,,,,,,
благодарение,0,1,28,0,1,0,0,0,0,0,0,,,,,,
благополучие,0,1,5,1,1,0,1,0,0,0,1,,,,,,
бланк,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
блеск,1,1,3,1,0,0,0,0,0,1,1,,,,,,
блестящий,1,1,6,1,0,0,0,0,0,1,1,,,,,,
близкий,0,1,27,1,1,0,0,0,0,1,1,0,0,0,0,0,0
близнецы,0,1,15,1,1,0,0,1,0,0,1,,,,,,
близость,0,1,9,1,0,0,0,0,0,1,1,,,,,,
блин,0,1,13,1,1,1,0,0,0,0,1,,,,,,
блокада,0,1,6,0,0,1,0,0,0,0,1,,,,,,
блокировка,0,1,13,1,1,0,0,0,1,0,1,,,,,,
блузка,0,0,0,0,1,0,0,0,0,0,1,,,,,,
блюдце,1,1,4,0,0,1,0,0,0,0,1,,,,,,
боб фасоль,0,0,0,1,1,0,0,1,0,0,0,,,,,,
бобовые,0,0,3,1,1,0,0,1,0,0,0,,,,,,
богатство,0,1,25,1,0,0,0,0,0,1,0,,,,,,
богатый,0,0,10,1,0,0,0,0,0,1,0,,,,,,
бой,0,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
бокс,0,1,13,1,0,0,0,0,0,1,1,,,,,,
болгария,0,0,8,1,0,0,0,0,0,1,0,,,,,,
болезненный,1,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0
болезнь,0,1,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0
болтать,0,1,4,1,0,1,0,0,0,1,0,,,,,,
болтовня,0,1,5,1,0,1,0,1,0,0,1,,,,,,
боль,0,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0
больница,0,1,10,1,1,0,1,0,0,0,1,,,,,,
больничный лист,0,1,30,1,0,0,0,0,0,1,1,0,0,0,0,0,1
больное горло,0,1,5,0,0,0,1,0,0,0,0,,,,,,
больше не,1,1,24,0,1,0,0,0,0,0,0,,,,,,
большинство,0,0,7,0,1,0,0,0,0,0,1,,,,,,
большой,1,0,6,0,1,0,0,0,0,0,1,,,,,,
бомбить,0,1,4,1,1,0,0,1,1,0,1,,,,,,
бондаж,0,1,9,0,1,0,0,0,0,0,0,,,,,,
бормотание,0,0,36,1,0,0,1,0,0,1,0,,,,,,
борода,0,0,0,0,1,0,0,0,0,0,0,,,,,,
бородавка,0,1,3,0,0,0,1,0,0,0,1,,,,,,
бородатый,0,0,4,1,1,0,1,0,0,0,0,,,,,,
бороться,1,1,4,1,1,0,0,1,1,0,1,,,,,,
борьба,1,0,0,1,0,1,0,1,1,0,1,,,,,,
босс шишка,0,1,8,1,0,0,0,0,0,1,1,,,,,,
ботинки,0,1,12,1,0,0,0,0,0,1,1,0,0,0,0,0,0
боулинг,1,1,30,1,1,0,1,0,0,0,0,,,,,,
Бразилия,0,1,13,1,1,1,0,0,0,0,0,,,,,,
браслет,1,1,3,1,0,0,0,0,0,1,1,,,,,,
браслетка,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0
брасс,0,1,9,1,1,1,0,1,1,0,1,,,,,,
брат,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
браузер,0,1,8,1,1,0,1,0,0,0,1,,,,,,
брекеты,0,1,8,1,1,1,0,0,0,0,0,,,,,,
бритва,0,0,0,1,0,0,0,1,0,0,0,,,,,,
брить,0,1,18,1,1,0,0,1,1,0,0,,,,,,
бровь,0,1,9,0,1,0,0,0,0,0,0,,,,,,
бродить,1,1,22,1,1,0,1,1,0,0,0,,,,,,
бронировать,0,0,31,1,1,0,1,0,0,0,1,0,0,0,0,0,0
бронхит,1,1,4,1,0,1,0,0,0,1,0,,,,,,
брошь,0,1,5,0,0,0,0,0,0,0,0,,,,,,
брюки,0,0,3,1,1,1,0,0,0,0,1,,,,,,
буду,0,0,3,0,1,0,0,0,0,0,0,,,,,,
будущее,1,1,4,1,1,0,0,1,0,0,0,,,,,,
булавка,0,1,5,1,1,1,0,1,0,0,0,,,,,,
бульвар,0,1,18,1,1,0,1,0,0,1,1,,,,,,
бульон,0,1,24,1,1,0,0,1,1,0,0,,,,,,
бумага,0,1,7,1,0,0,0,0,0,1,1,,,,,,
буржуа,1,1,5,0,0,1,0,0,0,0,0,,,,,,
бурление; кипение,0,1,6,1,0,0,0,1,1,0,1,,,,,,
буря,0,1,8,1,1,0,0,1,1,0,1,,,,,,
бусы,0,0,11,1,1,0,0,1,0,0,0,,,,,,
бутерброд,0,1,7,1,0,0,0,1,0,0,1,0,0,0,0,0,0
бутсы футбольные,0,1,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0
бутылка,0,0,6,1,1,0,1,0,0,0,0,,,,,,
бухгалтерия,0,1,3,1,0,1,0,1,1,0,1,0,0,0,0,0,0
бухгалтерский учет,1,1,10,1,0,1,0,1,1,0,1,0,0,0,0,0,0
бывший,0,1,2,0,0,1,0,0,0,0,0,,,,,,
бык,0,1,15,1,0,1,0,1,1,0,0,,,,,,
быстро,0,1,2,1,1,1,0,0,0,0,1,,,,,,
быстрый,0,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0
быть вовлеченным,0,1,19,1,1,1,1,0,0,0,1,0,0,1,0,0,0
быть должным,0,1,11,1,1,1,0,0,0,0,1,0,0,0,0,0,0
быть начеку,0,1,12,1,1,0,1,0,0,0,1,,,,,,
быть потрясенным,0,0,18,1,0,0,0,0,0,1,1,,,,,,
быть склонным,0,1,13,0,0,1,0,0,0,0,1,0,0,0,0,0,0
быть способным,1,1,12,1,0,0,0,0,0,1,0,,,,,,
бюстгальтер,0,1,7,0,1,0,0,0,0,0,1,,,,,,
в общем,0,1,3,1,1,1,1,0,0,0,1,,,,,,
в основном,0,0,9,1,1,0,0,1,1,0,0,,,,,,
в спешке,0,1,11,1,1,0,0,0,0,1,1,,,,,,
вагина,1,1,0,1,0,0,0,0,0,1,1,,,,,,
важность,0,1,36,1,1,0,0,1,1,0,0,,,,,,
ваза,0,1,3,1,1,1,0,0,0,0,1,,,,,,
вазэктоми́я,0,0,41,1,1,0,1,0,0,0,1,,,,,,
вакцинация; прививка,0,1,3,1,0,0,1,1,0,0,0,,,,,,
валяние войлока,0,1,38,1,1,0,1,1,0,0,1,,,,,,
вампир,0,1,6,0,0,0,0,0,0,1,0,,,,,,
ванна,1,1,5,1,0,0,0,0,0,1,1,,,,,,
варежки,1,1,28,1,1,0,1,1,0,0,1,,,,,,
варьироваться,1,1,6,1,0,1,0,1,0,0,1,,,,,,
ваять,0,1,7,1,0,1,0,1,0,0,1,,,,,,
вдоль,1,0,34,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вдохновление,0,1,5,0,1,0,0,0,0,0,1,,,,,,
вдохновлять,0,0,29,1,1,0,0,1,1,0,1,,,,,,
вебкамера,0,1,16,1,0,1,0,0,0,1,0,,,,,,
ведро,1,1,15,1,0,1,0,0,0,1,0,,,,,,
ведьма,0,1,3,1,0,0,1,0,0,1,0,,,,,,
веер,0,1,13,1,0,1,0,1,1,0,0,,,,,,
вежливость,0,1,5,1,1,0,0,0,0,1,1,,,,,,
вежливый,0,1,8,1,1,0,0,0,0,1,1,,,,,,
веко,0,1,14,1,0,0,0,0,0,1,0,,,,,,
величие,1,1,5,1,0,0,0,0,0,1,1,,,,,,
велосипед,1,1,10,1,1,0,0,1,1,0,1,,,,,,
венгрия,1,1,30,1,0,0,0,0,0,1,1,,,,,,
венок,0,1,10,1,0,1,0,1,1,0,1,0,0,0,0,0,0
вентиляция,1,1,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0
вера,0,1,9,0,1,0,0,0,0,0,1,0,0,0,0,0,0
верблюд,1,1,7,1,0,1,0,0,0,1,1,,,,,,
вердикт,0,1,18,1,1,0,1,0,0,0,1,,,,,,
веревка,0,1,4,0,1,0,0,0,0,0,1,,,,,,
верить,0,1,22,0,1,0,0,0,0,0,1,,,,,,
вермишель,0,1,10,1,0,1,0,0,0,1,1,,,,,,
вернуться обратно,0,1,9,1,0,1,0,1,0,0,1,,,,,,
верный,0,1,8,1,1,0,1,0,0,0,0,,,,,,
верование,0,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вероятно,1,1,4,0,0,0,0,0,0,0,0,,,,,,
вероятный,0,1,2,0,0,1,0,0,0,0,1,,,,,,
верстка,1,1,11,1,1,1,0,1,0,0,1,1,0,0,0,0,0
вертолет,1,1,7,1,0,0,0,0,0,1,1,0,0,0,0,0,0
вес,0,0,15,1,1,0,0,1,1,0,1,,,,,,
веселый,0,1,32,1,0,1,0,1,0,0,0,,,,,,
весло,0,1,14,1,1,1,0,1,1,0,1,,,,,,
весна,0,0,4,1,1,0,1,0,0,0,1,,,,,,
веснушка,0,1,15,1,1,0,0,0,0,1,0,,,,,,
вести переговоры,0,1,4,1,0,1,0,1,0,0,1,,,,,,
вести себя,1,1,18,1,0,0,0,0,0,1,1,,,,,,
весы балансировочные,1,1,3,1,1,0,0,1,0,0,1,,,,,,
ветвь,0,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0
ветер,0,1,14,1,1,0,0,1,1,0,1,,,,,,
ветеран,0,1,6,1,1,0,0,1,0,0,0,,,,,,
ветка,0,1,14,0,1,0,0,0,0,0,1,0,0,1,0,0,0
ветряная энергия,0,1,11,0,1,0,0,0,0,0,1,,,,,,
вечер,0,1,2,1,1,0,0,1,1,0,1,0,0,0,0,0,0
вечность,0,1,4,0,1,0,0,0,0,0,1,,,,,,
вечный,0,1,16,0,1,0,0,0,0,0,1,,,,,,
вещь,1,1,25,1,0,0,0,0,0,1,1,,,,,,
взбивалка,1,1,14,1,0,1,0,0,0,1,1,0,0,0,0,0,0
взбивать,1,1,3,1,0,1,0,0,0,1,1,0,0,0,0,0,0
взгляд,1,1,19,0,0,1,0,0,0,0,0,,,,,,
взглянуть,0,0,24,0,1,0,0,0,0,0,0,,,,,,
вздрагивать резко,1,1,12,0,1,0,0,0,0,0,1,,,,,,
вздыхать,0,1,3,1,1,0,0,0,1,0,0,,,,,,
взлетать,1,1,9,1,1,0,1,0,0,0,0,,,,,,
взрослый,0,0,0,1,1,0,0,0,0,1,0,,,,,,
взрыв,0,1,18,0,1,0,0,0,0,0,1,,,,,,
вибрафон,0,1,23,1,0,1,0,0,0,1,0,,,,,,
вибрация,0,0,33,1,0,0,0,0,0,1,1,,,,,,
вибрировать,1,1,9,1,0,0,0,0,0,1,1,,,,,,
видео,0,0,6,1,0,1,0,1,0,0,0,,,,,,
видеокамера,0,0,4,0,0,1,0,0,0,0,0,,,,,,
видеть,0,0,9,0,1,0,0,0,0,0,0,,,,,,
визуализация,0,1,9,1,1,0,0,1,1,0,1,,,,,,
вилка,0,1,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Вильнюс,0,1,17,1,0,0,1,1,0,0,0,,,,,,
вилять,1,1,18,1,0,0,0,0,0,1,1,0,0,0,0,0,0
вина,0,0,7,1,1,1,0,0,0,0,0,,,,,,
вино,0,1,21,1,0,0,1,1,1,0,0,,,,,,
виноград,0,1,12,1,1,0,1,1,0,0,1,0,0,0,0,0,0
вирус,1,1,16,1,0,0,0,0,0,1,1,,,,,,
висеть,1,1,31,1,1,1,0,0,0,0,1,,,,,,
висячий замок,1,1,22,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вишня,0,1,20,1,0,1,0,0,0,1,0,,,,,,
вкалывать,0,1,15,1,1,0,0,1,0,0,1,,,,,,
вклад,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вкладывать,0,1,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0
вкладыш наушника,0,1,19,0,0,1,0,0,0,0,0,,,,,,
включать,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
включить,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вкусный,1,1,4,0,1,0,0,0,0,0,0,,,,,,
влагалище,1,1,23,1,0,0,0,0,0,1,1,,,,,,
влажность,1,1,7,1,0,0,1,1,0,0,1,,,,,,
влажный,1,1,0,0,0,0,1,1,0,0,1,,,,,,
влияние,0,1,7,1,1,0,1,0,0,0,1,,,,,,
влиять на,0,0,0,1,1,0,1,0,0,0,1,,,,,,
влюбиться,1,1,12,0,0,1,0,0,0,0,1,,,,,,
вместо,0,0,3,0,1,0,0,0,0,0,1,,,,,,
вмешательство,1,1,17,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вмешиваться,0,1,10,0,1,0,0,0,0,0,1,0,0,0,0,0,0
внешний,1,1,11,1,1,0,0,0,0,1,0,,,,,,
внешний снаружи,0,1,8,1,1,0,0,0,0,1,0,,,,,,
внешность,0,1,4,0,1,0,0,0,0,0,1,,,,,,
вниз,0,0,6,0,1,0,0,0,0,0,0,,,,,,
внимание,1,1,27,1,0,0,0,0,0,1,0,,,,,,
внимательный,0,1,8,1,0,0,0,0,0,1,0,,,,,,
внутренний,1,0,7,1,0,0,0,0,0,1,0,,,,,,
внутри,1,0,8,1,1,0,0,0,0,1,1,0,0,0,0,0,0
вовлеченный,0,1,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0
вода,0,1,9,1,1,0,0,1,1,0,0,,,,,,
водить,1,1,3,1,1,0,0,1,1,0,1,,,,,,
водить машину,1,1,20,1,1,0,0,1,1,0,1,,,,,,
водка,0,0,4,1,0,0,0,0,0,1,0,,,,,,
воевать,0,1,13,1,0,0,0,0,0,1,1,,,,,,
военный,1,0,18,1,0,0,0,0,0,1,0,,,,,,
вожделение,0,0,12,1,1,0,0,1,1,0,0,,,,,,
возбуждение,0,1,19,0,1,0,0,0,0,0,1,,,,,,
возвращать,0,1,10,1,0,1,0,1,1,0,1,,,,,,
возвращаться,0,1,15,1,1,0,0,1,1,0,1,,,,,,
возвращение,0,1,5,1,0,1,0,1,1,0,1,,,,,,
воздерживаться,0,1,19,0,1,0,0,0,0,0,1,,,,,,
воздух,1,1,15,1,1,0,0,1,1,0,1,,,,,,
воздушный змей,1,1,25,1,1,0,0,1,1,0,1,0,0,0,0,0,0
возлюбленный,0,0,13,0,1,0,0,0,0,0,0,,,,,,
возместимый,0,0,6,1,1,1,0,0,0,0,1,0,0,0,0,0,0
возможно,0,0,9,1,1,1,0,1,1,0,1,,,,,,
возможный,0,0,3,1,1,1,0,0,0,0,1,,,,,,
вознесение,0,1,3,0,1,0,0,0,0,0,1,,,,,,
вознестись,1,1,34,0,1,0,0,0,0,0,0,,,,,,
возникать,0,1,9,0,0,0,1,0,0,0,0,,,,,,
возрадоваться,0,1,6,1,1,0,0,1,1,0,1,,,,,,
возражение,1,1,18,0,1,0,0,0,0,0,1,,,,,,
возраст,1,1,12,1,1,0,0,0,0,1,0,,,,,,
возрождение,0,1,2,0,0,1,0,0,0,0,1,,,,,,
вой,0,1,23,1,0,0,0,0,0,1,1,,,,,,
войлок,1,1,15,1,0,0,1,1,1,0,1,0,0,0,0,0,0
война,0,1,4,1,1,1,0,0,0,0,0,,,,,,
вокруг,0,0,18,1,1,0,0,0,1,0,0,,,,,,
волейбол,0,0,3,1,1,0,0,1,1,0,1,,,,,,
волк,0,0,20,0,1,0,0,0,0,0,0,,,,,,
волнение,0,1,20,1,1,0,0,1,1,0,1,,,,,,
волосы,0,1,19,1,0,0,0,0,0,1,0,,,,,,
волшебный,0,1,9,1,1,0,1,1,1,0,1,,,,,,
волшебство,0,1,7,1,1,0,1,1,1,0,1,,,,,,
вольные упражнения,1,1,8,1,0,1,0,1,1,0,1,,,,,,
вонючий,0,1,16,1,1,0,0,1,1,0,0,,,,,,
вонять,0,0,3,1,1,0,0,0,0,1,0,,,,,,
воображение,0,0,2,1,1,0,1,1,1,0,1,,,,,,
вопить,0,1,20,0,1,0,0,0,0,0,1,,,,,,
воплощенный,0,1,31,1,0,1,1,0,0,0,1,0,0,0,0,0,0
вопрос,0,0,14,1,1,0,1,0,0,0,0,,,,,,
вопросник,0,1,6,1,1,0,0,1,0,0,1,,,,,,
воротник,0,0,4,1,0,0,0,0,0,1,1,,,,,,
ворчать,1,1,4,1,0,0,0,0,0,1,0,,,,,,
восклицать,0,1,14,0,1,0,0,0,0,0,1,,,,,,
воскресенье,0,1,3,0,0,1,0,1,0,0,0,,,,,,
воспользоваться преимуществом,0,1,2,0,1,0,0,0,0,0,0,,,,,,
воспринимать,0,0,0,0,0,0,1,0,0,0,1,,,,,,
восприятие,0,1,4,1,1,0,1,0,0,0,1,,,,,,
восставать,0,0,0,0,1,0,0,0,0,0,1,,,,,,
восстанавливать,0,0,9,0,1,0,0,0,0,0,1,,,,,,
восстановление,0,1,14,0,1,0,0,0,0,0,1,,,,,,
восток,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
восхваление,0,1,3,1,1,0,0,1,1,0,1,0,0,0,0,0,0
восхищаться,0,1,7,0,1,0,0,0,0,0,1,,,,,,
восхищение,0,0,13,1,1,0,1,0,0,0,1,,,,,,
восхождение,0,1,18,1,1,0,0,0,0,1,0,,,,,,
вошь,0,0,0,1,0,1,0,1,0,0,1,,,,,,
впадина,0,1,10,1,1,1,0,0,0,0,1,0,0,0,0,0,0
